slice_idx,num_points,x_mm,y_mm,z_mm
3,19,-100.3521,-16.1018,-1.5662
3,19,-100.3521,-17.6018,-1.5575
3,19,-99.8522,-18.1018,-1.5612
3,19,-100.3521,-18.6018,-1.5516
3,19,-100.3521,-21.1017,-1.5370
3,19,-99.8522,-21.6018,-1.5407
3,19,-99.8522,-22.1018,-1.5378
3,19,-99.3522,-22.6018,-1.5415
3,19,-99.3522,-23.1018,-1.5386
3,19,-100.8521,-24.6016,-1.5100
3,19,-100.8521,-25.1016,-1.5070
3,19,-100.3521,-25.6017,-1.5107
3,19,-100.3521,-26.6016,-1.5049
3,19,-101.3521,-27.6015,-1.4858
3,19,-102.3520,-27.6015,-1.4726
3,19,-102.8519,-28.1014,-1.4631
3,19,-103.8518,-28.1013,-1.4499
3,19,-104.8518,-29.1013,-1.4308
3,19,-105.3517,-29.1012,-1.4242
4,26,-106.8080,-8.5822,1.7755
4,26,-106.3080,-8.5822,1.7689
4,26,-104.8081,-10.0823,1.7578
4,26,-104.3082,-10.0823,1.7512
4,26,-101.3084,-13.0825,1.7291
4,26,-100.3085,-13.0826,1.7159
4,26,-99.3086,-14.0827,1.7085
4,26,-98.8087,-14.0827,1.7019
4,26,-97.3088,-15.5828,1.6908
4,26,-97.3088,-16.0828,1.6938
4,26,-96.3089,-17.0828,1.6864
4,26,-96.3089,-17.5828,1.6893
4,26,-90.8094,-23.0832,1.6488
4,26,-90.8094,-25.0831,1.6605
4,26,-91.8093,-26.0830,1.6795
4,26,-92.3092,-26.0830,1.6861
4,26,-96.3089,-30.0826,1.7624
4,26,-100.3085,-30.0823,1.8152
4,26,-100.8085,-29.5823,1.8189
4,26,-101.3084,-30.0822,1.8284
4,26,-104.3082,-30.0820,1.8681
4,26,-104.8081,-30.5819,1.8776
4,26,-105.3081,-30.5819,1.8842
4,26,-109.3077,-34.5815,1.9604
4,26,-109.8077,-34.5815,1.9671
4,26,-110.3077,-35.0814,1.9766
5,62,-111.2640,-37.5620,5.3041
5,62,-111.7639,-37.0620,5.3077
5,62,-112.7638,-37.0619,5.3210
5,62,-113.2638,-36.5619,5.3246
5,62,-119.2633,-14.5618,5.2754
5,62,-119.2633,-14.0618,5.2725
5,62,-116.7635,-11.5621,5.2248
5,62,-116.7635,-11.0621,5.2219
5,62,-115.2636,-9.5622,5.1933
5,62,-114.7637,-9.5622,5.1867
5,62,-113.7637,-8.5623,5.1676
5,62,-113.2638,-8.5624,5.1610
5,62,-112.7638,-8.0624,5.1515
5,62,-111.7639,-8.0625,5.1383
5,62,-111.2640,-7.5626,5.1288
5,62,-110.7640,-7.5626,5.1221
5,62,-110.2641,-7.0626,5.1126
5,62,-109.7641,-7.0627,5.1060
5,62,-109.2641,-6.5627,5.0965
5,62,-103.7646,-6.5631,5.0238
5,62,-103.2647,-7.0632,5.0201
5,62,-101.2648,-7.0633,4.9937
5,62,-100.7649,-7.5634,4.9900
5,62,-99.7650,-7.5634,4.9768
5,62,-99.2650,-8.0635,4.9731
5,62,-98.7651,-8.0635,4.9665
5,62,-96.7652,-10.0636,4.9517
5,62,-96.7652,-10.5636,4.9547
5,62,-95.7653,-11.5637,4.9473
5,62,-95.7653,-12.0637,4.9502
5,62,-95.2654,-12.5637,4.9465
5,62,-95.2654,-13.0637,4.9495
5,62,-94.7654,-13.5637,4.9458
5,62,-94.7654,-14.0637,4.9487
5,62,-93.7655,-15.0638,4.9413
5,62,-91.7657,-18.5639,4.9353
5,62,-91.2657,-18.5639,4.9287
5,62,-90.2658,-19.5640,4.9214
5,62,-90.2658,-20.0640,4.9243
5,62,-88.2660,-22.0641,4.9095
5,62,-88.2660,-23.5641,4.9183
5,62,-87.2661,-24.5641,4.9109
5,62,-87.2661,-25.0641,4.9139
5,62,-88.7659,-32.0639,4.9746
5,62,-89.7658,-32.0638,4.9878
5,62,-90.2658,-32.5637,4.9973
5,62,-90.7658,-32.5637,5.0039
5,62,-91.7657,-33.5636,5.0230
5,62,-92.2656,-33.5636,5.0296
5,62,-93.7655,-35.0634,5.0582
5,62,-94.2654,-35.0634,5.0648
5,62,-96.2653,-33.0633,5.0795
5,62,-96.7652,-33.0632,5.0862
5,62,-97.2652,-32.5632,5.0898
5,62,-97.7651,-32.5632,5.0964
5,62,-104.2646,-34.5626,5.1940
5,62,-104.2646,-35.0626,5.1969
5,62,-104.7645,-35.5626,5.2065
5,62,-104.7645,-36.0626,5.2094
5,62,-105.7644,-37.0625,5.2285
5,62,-106.2644,-37.0624,5.2351
5,62,-106.7644,-37.5624,5.2446
6,80,-109.2205,-41.5428,8.6007
6,80,-109.7205,-41.0428,8.6043
6,80,-110.2204,-41.0428,8.6110
6,80,-110.7204,-40.5427,8.6146
6,80,-111.2204,-40.5427,8.6212
6,80,-111.7203,-40.0427,8.6249
6,80,-112.2203,-40.0426,8.6315
6,80,-113.2202,-39.0426,8.6389
6,80,-114.2201,-39.0425,8.6521
6,80,-115.7200,-37.5424,8.6632
6,80,-116.2199,-37.5424,8.6698
6,80,-120.2196,-33.5421,8.6993
6,80,-120.2196,-33.0421,8.6964
6,80,-120.7195,-32.5421,8.7000
6,80,-120.7195,-32.0421,8.6971
6,80,-121.7194,-31.0421,8.7045
6,80,-121.7194,-30.5421,8.7016
6,80,-122.2194,-30.0420,8.7053
6,80,-122.2194,-29.5420,8.7023
6,80,-123.2193,-28.5420,8.7097
6,80,-123.2193,-28.0420,8.7068
6,80,-123.7193,-27.5420,8.7105
6,80,-123.7193,-27.0420,8.7075
6,80,-124.2192,-26.5419,8.7112
6,80,-124.2192,-24.5420,8.6995
6,80,-124.7192,-23.0420,8.6974
6,80,-124.2192,-22.5420,8.6879
6,80,-124.2192,-21.5420,8.6820
6,80,-122.7194,-20.0422,8.6534
6,80,-122.7194,-19.5422,8.6505
6,80,-119.7196,-16.5425,8.5933
6,80,-119.7196,-16.0425,8.5904
6,80,-118.7197,-15.0426,8.5713
6,80,-118.7197,-14.5426,8.5684
6,80,-116.2199,-12.0428,8.5208
6,80,-116.2199,-11.5428,8.5179
6,80,-112.7202,-8.0431,8.4512
6,80,-112.2203,-8.0432,8.4445
6,80,-111.2204,-7.0433,8.4255
6,80,-110.7204,-7.0433,8.4189
6,80,-110.2204,-6.5434,8.4093
6,80,-109.7205,-6.5434,8.4027
6,80,-108.7206,-5.5435,8.3837
6,80,-103.7210,-5.5439,8.3176
6,80,-103.2211,-6.0439,8.3139
6,80,-102.7211,-5.5440,8.3044
6,80,-100.7213,-5.5441,8.2780
6,80,-100.2213,-6.0441,8.2743
6,80,-99.2214,-6.0442,8.2611
6,80,-98.7214,-6.5443,8.2574
6,80,-97.7215,-6.5443,8.2442
6,80,-96.2217,-8.0444,8.2331
6,80,-95.7217,-8.0445,8.2265
6,80,-95.2218,-8.5445,8.2228
6,80,-94.7218,-8.5445,8.2162
6,80,-92.7220,-10.5446,8.2015
6,80,-91.2221,-12.5447,8.1933
6,80,-88.2224,-19.5448,8.1946
6,80,-87.7224,-21.0449,8.1968
6,80,-87.7224,-21.5448,8.1997
6,80,-86.7225,-22.5449,8.1923
6,80,-86.7225,-23.0449,8.1952
6,80,-86.2225,-23.5449,8.1915
6,80,-86.2225,-24.0449,8.1945
6,80,-85.7226,-24.5449,8.1908
6,80,-85.7226,-27.5449,8.2083
6,80,-85.2226,-28.0449,8.2046
6,80,-85.2226,-29.0449,8.2105
6,80,-84.7227,-29.5449,8.2068
6,80,-85.2226,-30.0449,8.2163
6,80,-93.2219,-37.5441,8.3659
6,80,-93.7219,-38.0441,8.3754
6,80,-94.7218,-38.0440,8.3886
6,80,-95.2218,-38.5440,8.3981
6,80,-98.2215,-38.5437,8.4378
6,80,-98.7214,-39.0437,8.4473
6,80,-99.2214,-39.0437,8.4539
6,80,-104.7209,-41.0432,8.5383
6,80,-107.2207,-41.0430,8.5713
6,80,-107.7207,-41.5430,8.5808
7,70,-110.1768,-41.5235,11.9135
7,70,-110.6768,-41.0235,11.9172
7,70,-111.6767,-41.0234,11.9304
7,70,-112.1767,-40.5233,11.9341
7,70,-112.6766,-40.5233,11.9407
7,70,-113.1766,-40.0233,11.9444
7,70,-113.6765,-40.0232,11.9510
7,70,-114.6764,-39.0232,11.9584
7,70,-115.1764,-39.0231,11.9650
7,70,-117.1762,-37.0230,11.9797
7,70,-117.6762,-37.0230,11.9863
7,70,-120.6759,-34.0228,12.0085
7,70,-120.6759,-33.5228,12.0055
7,70,-121.6758,-32.5228,12.0129
7,70,-121.6758,-32.0228,12.0100
7,70,-122.6757,-31.0227,12.0174
7,70,-122.6757,-30.5227,12.0144
7,70,-123.6757,-29.5226,12.0218
7,70,-123.6757,-29.0227,12.0189
7,70,-124.1756,-28.5226,12.0226
7,70,-124.1756,-27.0227,12.0138
7,70,-124.6756,-26.5226,12.0175
7,70,-124.6756,-25.5226,12.0116
7,70,-125.1755,-25.0226,12.0153
7,70,-125.1755,-23.0226,12.0036
7,70,-124.1756,-22.0227,11.9846
7,70,-124.1756,-21.5227,11.9817
7,70,-123.6757,-21.0228,11.9721
7,70,-123.6757,-20.5228,11.9692
7,70,-110.6768,-5.0241,11.7068
7,70,-110.1768,-5.0241,11.7002
7,70,-109.6769,-4.5242,11.6907
7,70,-109.1769,-4.5242,11.6841
7,70,-108.6770,-4.0242,11.6746
7,70,-108.1770,-4.0243,11.6680
7,70,-107.6771,-3.5243,11.6584
7,70,-106.1772,-3.5244,11.6386
7,70,-105.6772,-3.0245,11.6291
7,70,-98.6778,-3.0250,11.5366
7,70,-98.1779,-3.5251,11.5329
7,70,-97.6779,-3.5251,11.5263
7,70,-97.1780,-4.0251,11.5226
7,70,-95.6781,-4.0252,11.5028
7,70,-95.1781,-4.5253,11.4991
7,70,-94.1782,-4.5254,11.4859
7,70,-93.6783,-5.0254,11.4822
7,70,-93.1783,-5.0254,11.4756
7,70,-92.6784,-5.5255,11.4719
7,70,-92.1784,-5.5255,11.4653
7,70,-89.6786,-8.0256,11.4469
7,70,-89.1787,-8.0257,11.4403
7,70,-88.1788,-9.0257,11.4329
7,70,-88.1788,-10.5257,11.4417
7,70,-87.6788,-11.0257,11.4380
7,70,-87.6788,-11.5257,11.4409
7,70,-88.1788,-12.0257,11.4504
7,70,-85.6790,-17.5258,11.4495
7,70,-85.6790,-19.5258,11.4612
7,70,-83.6791,-21.5259,11.4465
7,70,-84.1791,-22.0258,11.4560
7,70,-84.1791,-23.0258,11.4618
7,70,-83.6791,-23.5258,11.4582
7,70,-83.6791,-25.5258,11.4698
7,70,-83.1792,-26.0258,11.4662
7,70,-91.1785,-39.0250,11.6478
7,70,-91.6784,-38.5250,11.6515
7,70,-92.1784,-38.5249,11.6581
7,70,-103.1774,-41.0240,11.8181
7,70,-105.1773,-41.0239,11.8445
7,70,-105.6772,-41.5238,11.8541
8,73,-108.6334,-43.0043,15.2021
8,73,-109.1333,-42.5043,15.2058
8,73,-111.1331,-42.5041,15.2322
8,73,-111.6331,-42.0041,15.2359
8,73,-112.1330,-42.0040,15.2425
8,73,-112.6330,-41.5040,15.2462
8,73,-113.1330,-41.5040,15.2528
8,73,-114.1329,-40.5039,15.2602
8,73,-114.6328,-40.5039,15.2668
8,73,-115.6327,-39.5038,15.2742
8,73,-116.1327,-39.5038,15.2808
8,73,-119.6324,-36.0036,15.3066
8,73,-120.1324,-36.0035,15.3132
8,73,-123.6320,-32.5033,15.3390
8,73,-124.1320,-32.5033,15.3456
8,73,-125.1319,-31.5032,15.3530
8,73,-125.1319,-31.0032,15.3501
8,73,-125.6319,-30.5032,15.3537
8,73,-125.6319,-30.0032,15.3508
8,73,-126.1318,-29.5032,15.3545
8,73,-126.1318,-26.0032,15.3340
8,73,-126.6318,-25.5032,15.3377
8,73,-126.1318,-25.0032,15.3282
8,73,-126.1318,-23.5033,15.3194
8,73,-124.6320,-22.0034,15.2909
8,73,-124.6320,-21.5034,15.2879
8,73,-123.6320,-20.5035,15.2689
8,73,-123.6320,-20.0035,15.2659
8,73,-109.6333,-2.0049,14.9758
8,73,-109.1333,-2.0050,14.9691
8,73,-107.6334,-0.5051,14.9406
8,73,-107.6334,-0.0051,14.9376
8,73,-107.1335,0.4948,14.9281
8,73,-107.1335,0.9948,14.9252
8,73,-98.6342,0.4942,14.8158
8,73,-98.1343,0.4942,14.8092
8,73,-97.1344,-0.5059,14.8018
8,73,-96.1344,-0.5060,14.7886
8,73,-95.6345,-1.0060,14.7849
8,73,-95.1345,-1.0061,14.7783
8,73,-94.6346,-1.5061,14.7746
8,73,-94.1346,-1.5061,14.7680
8,73,-93.6347,-2.0062,14.7643
8,73,-93.1347,-2.0062,14.7577
8,73,-92.1348,-3.0063,14.7503
8,73,-91.6348,-3.0063,14.7437
8,73,-88.1351,-6.5065,14.7179
8,73,-88.1351,-7.0065,14.7209
8,73,-85.6354,-9.5066,14.7024
8,73,-85.6354,-10.0066,14.7054
8,73,-83.6355,-12.0068,14.6906
8,73,-83.6355,-12.5067,14.6935
8,73,-83.1356,-13.0068,14.6898
8,73,-83.1356,-27.0065,14.7717
8,73,-83.6355,-27.5065,14.7812
8,73,-83.6355,-29.5065,14.7929
8,73,-84.1355,-30.0064,14.8024
8,73,-83.6355,-30.5064,14.7987
8,73,-84.1355,-31.0064,14.8082
8,73,-83.6355,-31.5064,14.8046
8,73,-86.6353,-38.5061,14.8851
8,73,-87.1352,-39.0060,14.8946
8,73,-87.6352,-39.0060,14.9012
8,73,-88.6351,-40.0059,14.9203
8,73,-89.6350,-40.0058,14.9335
8,73,-90.1350,-40.5058,14.9430
8,73,-90.6349,-40.0057,14.9467
8,73,-91.1349,-40.0057,14.9533
8,73,-101.6340,-42.0049,15.1038
8,73,-102.1339,-42.0048,15.1104
8,73,-102.6339,-42.5048,15.1199
8,73,-107.6334,-42.5044,15.1860
8,73,-108.1334,-43.0043,15.1955
9,82,-105.0901,-44.4853,18.4643
9,82,-105.5900,-43.9852,18.4680
9,82,-107.5898,-43.9851,18.4944
9,82,-108.0898,-43.4850,18.4981
9,82,-110.0896,-43.4849,18.5245
9,82,-110.5896,-42.9849,18.5282
9,82,-111.5895,-42.9848,18.5414
9,82,-112.0894,-42.4847,18.5451
9,82,-113.0894,-42.4847,18.5583
9,82,-113.5893,-41.9846,18.5620
9,82,-114.0893,-41.9846,18.5686
9,82,-115.5891,-40.4845,18.5797
9,82,-116.0891,-40.4845,18.5863
9,82,-120.0887,-36.4842,18.6158
9,82,-120.5887,-36.4842,18.6224
9,82,-122.0886,-34.9841,18.6334
9,82,-122.5885,-34.9841,18.6400
9,82,-125.0883,-32.4839,18.6585
9,82,-125.0883,-30.4839,18.6468
9,82,-125.5883,-29.9839,18.6505
9,82,-125.5883,-27.9840,18.6388
9,82,-126.0882,-27.4839,18.6425
9,82,-126.0882,-21.9840,18.6103
9,82,-115.0892,-4.4852,18.3627
9,82,-112.5894,-1.9854,18.3151
9,82,-112.5894,-1.4854,18.3121
9,82,-111.5895,-0.4855,18.2931
9,82,-111.5895,0.0145,18.2902
9,82,-110.0896,1.5143,18.2616
9,82,-109.5897,1.5143,18.2550
9,82,-109.0897,2.0143,18.2454
9,82,-107.5898,2.0141,18.2256
9,82,-106.0900,2.5140,18.2029
9,82,-105.5900,2.0140,18.1992
9,82,-105.0901,2.5139,18.1896
9,82,-104.5901,2.0139,18.1860
9,82,-101.0904,2.0136,18.1397
9,82,-100.5904,1.5136,18.1360
9,82,-100.0905,2.0136,18.1265
9,82,-99.5905,2.0135,18.1199
9,82,-99.0906,1.5135,18.1162
9,82,-98.0907,1.5134,18.1030
9,82,-97.5907,1.0134,18.0993
9,82,-96.0908,1.0133,18.0795
9,82,-94.5910,-0.4868,18.0684
9,82,-94.0910,-0.4869,18.0618
9,82,-93.0911,-1.4869,18.0544
9,82,-92.5911,-1.4870,18.0478
9,82,-91.0913,-2.9870,18.0368
9,82,-90.5913,-2.9871,18.0302
9,82,-85.5918,-7.9874,17.9933
9,82,-85.5918,-8.4874,17.9962
9,82,-85.0918,-8.9874,17.9926
9,82,-85.0918,-9.4874,17.9955
9,82,-84.0919,-10.4875,17.9881
9,82,-84.0919,-10.9874,17.9910
9,82,-83.5919,-11.4875,17.9873
9,82,-83.5919,-11.9875,17.9903
9,82,-83.0920,-12.4875,17.9866
9,82,-83.0920,-14.9875,18.0012
9,82,-83.5919,-15.4874,18.0107
9,82,-83.5919,-15.9874,18.0136
9,82,-83.0920,-18.4874,18.0216
9,82,-83.0920,-19.4874,18.0275
9,82,-83.0920,-27.9872,18.0772
9,82,-83.5919,-28.4872,18.0867
9,82,-83.5919,-28.9872,18.0896
9,82,-84.0919,-29.4871,18.0991
9,82,-84.0919,-29.9871,18.1021
9,82,-84.5918,-30.4871,18.1116
9,82,-84.5918,-31.4871,18.1174
9,82,-85.0918,-31.9870,18.1270
9,82,-85.0918,-32.9870,18.1328
9,82,-85.5918,-33.4869,18.1423
9,82,-85.5918,-35.4869,18.1540
9,82,-90.0914,-39.9865,18.2398
9,82,-92.5911,-39.9863,18.2728
9,82,-99.0906,-42.4858,18.3733
9,82,-99.5905,-42.4857,18.3799
9,82,-101.0904,-43.9856,18.4085
9,82,-102.5903,-43.9855,18.4283
9,82,-103.0902,-44.4854,18.4379
10,92,-104.0465,-46.9660,21.7654
10,92,-104.5465,-46.4660,21.7690
10,92,-106.5463,-46.4658,21.7955
10,92,-107.0463,-45.9658,21.7992
10,92,-108.0462,-45.9657,21.8124
10,92,-108.5461,-45.4657,21.8161
10,92,-111.0459,-45.4655,21.8491
10,92,-111.5459,-44.9655,21.8528
10,92,-112.5458,-44.9654,21.8660
10,92,-113.0457,-44.4654,21.8697
10,92,-113.5457,-44.4653,21.8763
10,92,-115.5455,-42.4652,21.8910
10,92,-116.0455,-42.4652,21.8976
10,92,-118.5453,-39.9650,21.9161
10,92,-119.5452,-39.9649,21.9293
10,92,-122.0450,-37.4648,21.9477
10,92,-122.0450,-36.9648,21.9448
10,92,-124.0448,-34.9647,21.9595
10,92,-124.0448,-34.4647,21.9566
10,92,-124.5447,-33.9646,21.9603
10,92,-124.5447,-32.9647,21.9544
10,92,-125.0447,-32.4646,21.9581
10,92,-125.0447,-31.9646,21.9552
10,92,-125.5447,-31.4646,21.9589
10,92,-125.0447,-30.9647,21.9494
10,92,-125.0447,-29.4647,21.9406
10,92,-125.5447,-28.9647,21.9443
10,92,-125.5447,-27.4647,21.9355
10,92,-126.0446,-26.9647,21.9392
10,92,-126.0446,-22.4647,21.9129
10,92,-125.5447,-21.9648,21.9034
10,92,-125.5447,-21.4648,21.9005
10,92,-118.5453,-6.4656,21.7203
10,92,-112.0458,0.0338,21.5964
10,92,-111.5459,0.0338,21.5898
10,92,-111.0459,0.5337,21.5803
10,92,-110.0460,0.5336,21.5671
10,92,-109.5460,1.0336,21.5575
10,92,-109.0461,1.0336,21.5509
10,92,-108.5461,1.5335,21.5414
10,92,-106.5463,1.5334,21.5150
10,92,-106.0464,2.0333,21.5054
10,92,-100.0469,2.0328,21.4262
10,92,-99.5469,1.5328,21.4225
10,92,-98.0471,1.5327,21.4026
10,92,-97.5471,1.0327,21.3990
10,92,-95.5473,1.0325,21.3725
10,92,-94.5474,0.0325,21.3652
10,92,-94.0474,0.0324,21.3586
10,92,-93.5474,-0.4676,21.3549
10,92,-93.0475,-0.4677,21.3483
10,92,-92.5475,-0.9677,21.3446
10,92,-92.0476,-0.9677,21.3380
10,92,-91.5476,-1.4677,21.3343
10,92,-91.0477,-1.4678,21.3277
10,92,-90.0478,-2.4678,21.3203
10,92,-89.5478,-2.4679,21.3137
10,92,-85.5481,-6.4681,21.2842
10,92,-85.5481,-6.9681,21.2871
10,92,-84.0483,-8.4682,21.2761
10,92,-84.0483,-9.4682,21.2819
10,92,-83.0484,-10.4683,21.2745
10,92,-83.0484,-10.9682,21.2775
10,92,-82.5484,-11.4683,21.2738
10,92,-82.5484,-12.4683,21.2796
10,92,-81.5485,-13.4683,21.2723
10,92,-81.5485,-14.9683,21.2810
10,92,-81.0485,-15.4683,21.2773
10,92,-81.0485,-15.9683,21.2803
10,92,-80.5486,-16.4683,21.2766
10,92,-80.5486,-22.9682,21.3146
10,92,-82.0484,-24.4681,21.3431
10,92,-82.0484,-24.9681,21.3461
10,92,-81.5485,-25.4681,21.3424
10,92,-81.5485,-26.4681,21.3482
10,92,-82.0484,-26.9680,21.3578
10,92,-82.0484,-27.4680,21.3607
10,92,-81.5485,-27.9681,21.3570
10,92,-83.0484,-29.4679,21.3856
10,92,-83.0484,-29.9679,21.3885
10,92,-82.5484,-30.4679,21.3848
10,92,-83.5483,-31.4679,21.4039
10,92,-83.5483,-31.9678,21.4068
10,92,-82.5484,-32.9679,21.3994
10,92,-82.5484,-34.9679,21.4111
10,92,-84.0483,-36.4677,21.4397
10,92,-84.5482,-36.4677,21.4463
10,92,-87.5480,-39.4674,21.5035
10,92,-87.5480,-39.9674,21.5064
10,92,-93.0475,-43.9669,21.6025
10,92,-94.0474,-44.9668,21.6215
10,92,-94.5474,-44.9668,21.6281
11,43,-127.4573,-25.9260,28.5525
11,43,-126.4573,-24.9261,28.5334
11,43,-126.4573,-24.4261,28.5305
11,43,-125.9574,-23.9261,28.5210
11,43,-125.9574,-22.4262,28.5122
11,43,-125.4574,-21.9262,28.5027
11,43,-125.4574,-20.4262,28.4939
11,43,-124.9575,-19.9263,28.4844
11,43,-124.9575,-18.9263,28.4785
11,43,-123.4576,-17.4264,28.4500
11,43,-123.4576,-16.9264,28.4470
11,43,-122.9577,-15.9265,28.4346
11,43,-122.4577,-14.4266,28.4192
11,43,-121.9577,-12.9266,28.4038
11,43,-121.4578,-12.4267,28.3943
11,43,-121.4578,-11.9267,28.3914
11,43,-120.9578,-11.4267,28.3819
11,43,-120.9578,-10.9267,28.3789
11,43,-119.9579,-9.9268,28.3599
11,43,-119.9579,-9.4268,28.3570
