slice_idx,num_points,x_mm,y_mm,z_mm
13,39,-138.4886,-46.3237,17.0223
13,39,-139.3359,-45.5003,17.3068
13,39,-139.3359,-43.8055,17.5932
13,39,-140.1833,-42.9821,17.8778
13,39,-140.1833,-42.1347,18.0210
13,39,-141.0306,-41.3112,18.3055
13,39,-141.0306,-39.6165,18.5919
13,39,-141.8780,-38.7930,18.8764
13,39,-141.8780,-37.0983,19.1628
13,39,-141.0306,-36.2271,19.1647
13,39,-141.0306,-34.5323,19.4511
13,39,-134.2519,-14.0046,21.7573
13,39,-128.3206,-7.9059,21.7704
13,39,-126.6259,-7.8581,21.4877
13,39,-125.7785,-6.9869,21.4896
13,39,-124.0839,-6.9391,21.2069
13,39,-123.2365,-6.0679,21.2088
13,39,-116.4578,-5.8768,20.0781
13,39,-115.6105,-6.7003,19.7936
13,39,-113.9158,-6.6525,19.5109
13,39,-113.0685,-7.4760,19.2264
13,39,-111.3738,-7.4282,18.9438
13,39,-106.2898,-12.3691,17.2366
13,39,-105.4425,-12.3452,17.0952
13,39,-100.3584,-17.2860,15.3880
13,39,-100.3584,-18.1334,15.2448
13,39,-99.5111,-18.9569,14.9603
13,39,-99.5111,-19.8042,14.8171
13,39,-98.6638,-20.6277,14.5326
13,39,-98.6638,-24.0172,13.9598
13,39,-97.8164,-24.8406,13.6752
13,39,-97.8164,-27.3827,13.2456
13,39,-98.6638,-28.2540,13.2438
13,39,-98.6638,-31.6434,12.6709
13,39,-103.7478,-38.5656,12.3733
13,39,-104.5951,-40.2842,12.2283
13,39,-107.9845,-43.7692,12.2208
13,39,-115.6105,-50.7630,12.3472
13,39,-115.6105,-51.6104,12.2040
14,50,-129.8684,-52.9972,10.0956
14,50,-132.4104,-52.2215,10.6628
14,50,-134.9524,-50.5984,11.3732
14,50,-135.7998,-50.6223,11.5145
14,50,-139.1891,-47.3284,12.6526
14,50,-139.1891,-46.4810,12.7958
14,50,-140.8838,-44.8341,13.3649
14,50,-140.8838,-43.9867,13.5081
14,50,-142.5785,-42.3398,14.0772
14,50,-142.5785,-41.4924,14.2204
14,50,-143.4258,-40.6689,14.5049
14,50,-143.4258,-32.1953,15.9369
14,50,-134.1051,-10.7486,17.9623
14,50,-134.1051,-9.9012,18.1055
14,50,-131.5631,-7.2875,18.1111
14,50,-130.7158,-7.2636,17.9698
14,50,-129.8684,-6.3924,17.9716
14,50,-129.0211,-6.3685,17.8303
14,50,-128.1737,-5.4973,17.8322
14,50,-127.3264,-5.4734,17.6908
14,50,-126.4791,-4.6021,17.6927
14,50,-123.0897,-4.5066,17.1274
14,50,-122.2424,-3.6353,17.1293
14,50,-118.8530,-3.5398,16.5639
14,50,-118.0057,-4.3633,16.2794
14,50,-116.3110,-4.3155,15.9967
14,50,-115.4637,-5.1390,15.7122
14,50,-113.7690,-5.0912,15.4295
14,50,-112.9217,-5.9147,15.1450
14,50,-111.2270,-5.8669,14.8623
14,50,-109.5323,-7.5139,14.2933
14,50,-108.6850,-7.4900,14.1520
14,50,-106.9903,-9.1369,13.5829
14,50,-106.1430,-9.1131,13.4416
14,50,-101.0590,-14.0539,11.7344
14,50,-101.0590,-15.7486,11.4480
14,50,-99.3643,-17.3956,10.8789
14,50,-99.3643,-19.0903,10.5925
14,50,-98.5169,-19.9138,10.3080
14,50,-98.5169,-28.3874,8.8760
14,50,-99.3643,-29.2586,8.8741
14,50,-99.3643,-30.9533,8.5877
14,50,-102.7536,-38.6751,7.8642
14,50,-103.6010,-39.5464,7.8623
14,50,-103.6010,-40.3937,7.7191
14,50,-107.8377,-44.7499,7.7098
14,50,-113.7690,-49.1539,7.9831
14,50,-114.6163,-50.0252,7.9812
14,50,-114.6163,-50.8725,7.8380
14,50,-115.4637,-51.7438,7.8362
15,57,-125.4849,-53.8585,4.8779
15,57,-126.3322,-53.0351,5.1625
15,57,-128.8743,-53.1067,5.5865
15,57,-129.7216,-52.2832,5.8710
15,57,-131.4163,-52.3310,6.1536
15,57,-132.2636,-51.5075,6.4382
15,57,-133.1109,-51.5314,6.5795
15,57,-133.9583,-50.7079,6.8640
15,57,-134.8056,-50.7318,7.0054
15,57,-141.5843,-44.1440,9.2816
15,57,-141.5843,-43.2967,9.4248
15,57,-144.1263,-40.8262,10.2784
15,57,-144.1263,-39.9789,10.4216
15,57,-144.9737,-39.1554,10.7062
15,57,-144.9737,-37.4607,10.9926
15,57,-145.8210,-36.6372,11.2771
15,57,-145.8210,-35.7898,11.4203
15,57,-131.4163,-5.7262,14.0297
15,57,-130.5689,-5.7023,13.8884
15,57,-129.7216,-4.8311,13.8902
15,57,-128.8743,-4.8072,13.7489
15,57,-128.0269,-3.9359,13.7508
15,57,-125.4849,-3.8643,13.3268
15,57,-124.6376,-2.9930,13.3287
15,57,-117.8589,-2.8020,12.1980
15,57,-117.0115,-3.6254,11.9135
15,57,-115.3169,-3.5777,11.6308
15,57,-114.4695,-4.4012,11.3463
15,57,-112.7749,-4.3534,11.0636
15,57,-111.9275,-5.1769,10.7791
15,57,-111.0802,-5.1530,10.6378
15,57,-110.2328,-5.9765,10.3532
15,57,-109.3855,-5.9526,10.2119
15,57,-101.7595,-13.3638,7.6511
15,57,-101.7595,-15.0586,7.3647
15,57,-100.0648,-16.7055,6.7956
15,57,-100.0648,-18.4002,6.5092
15,57,-99.2175,-19.2237,6.2247
15,57,-99.2175,-23.4605,5.5087
15,57,-100.0648,-24.3318,5.5068
15,57,-101.7595,-36.2426,3.7847
15,57,-101.7595,-37.0899,3.6415
15,57,-102.6068,-37.9612,3.6396
15,57,-102.6068,-38.8085,3.4964
15,57,-103.4541,-39.6798,3.4945
15,57,-103.4541,-41.3745,3.2081
15,57,-105.1488,-43.1170,3.2044
15,57,-105.1488,-43.9643,3.0612
15,57,-105.9962,-44.8356,3.0593
15,57,-105.9962,-45.6829,2.9161
15,57,-109.3855,-49.1679,2.9086
15,57,-110.2328,-49.1918,3.0500
15,57,-111.0802,-50.0631,3.0481
15,57,-113.6222,-50.1347,3.4721
15,57,-114.4695,-49.3112,3.7566
15,57,-115.3169,-49.3351,3.8980
15,57,-119.5536,-53.6913,3.8886
16,58,-128.7274,-52.3928,1.3618
16,58,-129.5748,-51.5693,1.6464
16,58,-131.2695,-51.6171,1.9290
16,58,-132.1168,-50.7936,2.2136
16,58,-132.9641,-50.8175,2.3549
16,58,-133.8115,-49.9940,2.6394
16,58,-134.6588,-50.0179,2.7808
16,58,-135.5061,-49.1944,3.0653
16,58,-136.3535,-49.2183,3.2066
16,58,-138.8955,-46.7479,4.0602
16,58,-138.8955,-45.9005,4.2034
16,58,-143.1322,-41.7831,5.6261
16,58,-143.1322,-40.9358,5.7693
16,58,-145.6742,-38.4653,6.6229
16,58,-145.6742,-37.6180,6.7661
16,58,-146.5215,-36.7945,7.0506
16,58,-146.5215,-31.7103,7.9098
16,58,-133.8115,-6.7786,9.9427
16,58,-132.1168,-5.0361,9.9464
16,58,-131.2695,-5.0123,9.8051
16,58,-130.4221,-4.1410,9.8070
16,58,-129.5748,-4.1171,9.6656
16,58,-128.7274,-3.2459,9.6675
16,58,-127.0328,-3.1981,9.3848
16,58,-126.1854,-2.3269,9.3867
16,58,-120.2541,-2.1597,8.3974
16,58,-119.4067,-2.9832,8.1129
